age_years,gender,ssc_percentage,hsc_percentage,degree_percentage,degree_specialization,technical_score,aptitude_score,communication_score,skills_match_percentage,certifications_count,internship_experience,years_of_experience,career_switch_willingness,relevant_experience,previous_ctc_lpa,expected_ctc_lpa,company_tier,job_role_match,competition_level,bond_requirement,notice_period_days,layoff_history,employment_gap_months,relocation_willingness,status,experience_category,skill_level
27,Male,81.74092172,84.46541017,67.32176109,Electronics,76.43752569,58.92281455,59.710614,68.00911146,2,No,1,Not Willing,Relevant,3.889562141,4.40083431,Tier 3,Matched,Medium,Not Required,60.0,No,6.0,Not Willing,Not Placed,Junior,High
31,Female,80.58501462,89.82081224,66.43748878,Information Technology,64.54250678,66.73956367,80.14776314,80.05080896,1,Yes,0,Willing,Relevant,5.328194428,3.0,Tier 1,Not Matched,Medium,Not Required,15.0,No,18.0,Willing,Not Placed,Senior,Medium
31,Female,72.73374416,74.35072839,76.39676524,Others,85.60215464,58.45901786,77.10725509,74.43596735,1,No,0,Willing,Not Relevant,6.618069495,3.708885402,Tier 3,Matched,Low,Required,90.0,No,3.0,Willing,Not Placed,Senior,High
28,Male,64.60070564,72.01438305,76.59518439,Computer Science,63.32095149,69.52912179,69.89439066,74.8612567,0,Yes,4,Willing,Relevant,7.285382577,12.33907146,Tier 2,Matched,High,Not Required,30.0,No,0.0,Willing,Placed,Junior,Medium
25,Male,88.516513,71.51729896,74.02691872,Electronics,60.06003574,63.69907848,60.43254696,66.5582156,2,Yes,3,Not Willing,Relevant,5.629606221,6.341400159,Tier 3,Not Matched,Medium,Required,30.0,No,0.0,Willing,Not Placed,Junior,Medium
24,Male,75.60626671,63.10068135,66.10440966,Computer Science,56.24989332,57.68756311,74.74099886,98.11701211,2,No,3,Willing,Relevant,5.249854133,9.205483613,Tier 3,Matched,Low,Not Required,0.0,No,6.0,Willing,Not Placed,Junior,Medium
28,Female,80.93637199,61.03302949,69.13521349,Others,63.01882271,54.81017628,52.08486827,82.96346108,3,No,0,Not Willing,Relevant,5.207203153,6.231450092,Tier 1,Matched,Medium,Not Required,15.0,No,0.0,Willing,Not Placed,Junior,Medium
28,Female,68.09292081,60.58278437,81.9400543,Computer Science,75.7405444,66.31287997,61.3172778,83.91692529,1,No,3,Not Willing,Relevant,2.545673673,9.196304512,Tier 3,Matched,Medium,Not Required,60.0,No,0.0,Willing,Not Placed,Junior,High
23,Male,60.75002531,67.51294522,75.19019554,Mechanical,70.70305836,69.88870867,70.40378934,61.86013034,0,No,0,Willing,Relevant,7.070709914,6.232636368,Tier 1,Not Matched,Low,Required,60.0,No,3.0,Not Willing,Not Placed,Junior,Medium
26,Male,74.07146278,70.92199167,82.26146513,Information Technology,74.58922515,77.89486751,45.0,57.60396076,0,No,0,Willing,Relevant,6.143701756,10.56365269,Tier 2,Matched,Medium,Not Required,15.0,Yes,0.0,Willing,Not Placed,Junior,Medium
25,Female,70.13398817,56.63821821,73.65784785,Information Technology,66.92878016,67.49188713,75.27574477,74.36204688,0,Yes,3,Not Willing,Not Relevant,2.246799313,10.80025157,Tier 3,Matched,Medium,Not Required,60.0,No,0.0,Willing,Not Placed,Junior,Medium
22,Male,83.21510356,80.77866824,66.67427127,Electronics,67.55836666,59.02385082,67.60519259,74.06429964,2,No,1,Not Willing,Relevant,4.732290209,5.870151472,Tier 2,Matched,Medium,Not Required,30.0,No,6.0,Willing,Not Placed,Fresher,Medium
28,Male,69.18915952,67.31393809,81.49683149,Others,64.4383585,60.30304072,78.16512842,91.51209104,1,Yes,4,Not Willing,Not Relevant,3.426834013,3.767979279,Tier 3,Matched,Low,Not Required,15.0,No,0.0,Willing,Placed,Junior,Medium
32,Male,66.4320029,72.01438305,65.27965096,Computer Science,54.87477903,62.95187168,73.82797501,54.04373198,2,Yes,0,Not Willing,Relevant,3.821182508,3.855877363,Tier 2,Matched,Low,Not Required,90.0,No,12.0,Willing,Not Placed,Senior,Medium
34,Male,80.26728646,72.84667057,79.98912961,Computer Science,65.95407349,67.59890978,69.35334089,79.06734437,0,No,4,Not Willing,Not Relevant,7.359748755,3.0,Tier 3,Matched,Medium,Not Required,0.0,No,12.0,Not Willing,Placed,Senior,Medium
26,Female,66.6526804,82.61869972,64.12061151,Computer Science,52.87280069,51.90444615,59.29016578,69.88182724,4,No,1,Not Willing,Relevant,3.629559811,7.64500932,Tier 1,Matched,Medium,Not Required,15.0,No,0.0,Willing,Not Placed,Junior,Medium
22,Female,67.79554674,75.41699771,77.45544672,Mechanical,73.63119865,59.36212088,66.50130255,85.79091091,2,No,2,Willing,Not Relevant,6.270831574,8.812300545,Tier 1,Not Matched,Low,Not Required,30.0,No,0.0,Willing,Not Placed,Fresher,Medium
32,Female,57.64435775,57.50012128,71.08077124,Others,52.12909,56.9662493,78.50099678,78.23391496,1,Yes,2,Willing,Relevant,1.0,6.377331665,Tier 1,Matched,Low,Not Required,15.0,No,0.0,Not Willing,Not Placed,Senior,Medium
25,Male,79.02074849,62.69925411,75.39991501,Others,67.70872645,50.58188068,59.75210192,69.25528527,0,Yes,2,Not Willing,Relevant,6.474395183,11.21515233,Tier 3,Matched,High,Required,30.0,No,0.0,Willing,Placed,Junior,Medium
21,Female,68.57893479,73.20510901,78.40038623,Mechanical,65.00478025,71.6203051,71.9863206,75.24343748,0,No,1,Willing,Relevant,7.129573273,5.139745187,Tier 1,Not Matched,High,Required,15.0,Yes,6.0,Willing,Not Placed,Fresher,Medium
32,Female,60.5786654,72.01438305,71.15236802,Others,70.01329335,48.33095796,50.59737133,74.06304381,1,No,1,Not Willing,Relevant,5.766641187,7.713783795,Tier 2,Not Matched,Medium,Required,0.0,No,3.0,Willing,Not Placed,Senior,Medium
30,Male,69.97121038,77.24857569,84.89995074,Information Technology,96.178831,54.5323386,79.46040562,63.37842523,0,No,1,Willing,Relevant,6.453821171,8.110161717,Tier 2,Matched,Medium,Not Required,0.0,No,3.0,Not Willing,Placed,Senior,High
26,Male,67.86998524,54.43081319,71.85001347,Computer Science,69.85988044,63.94709157,73.50787356,73.34294906,0,No,0,Not Willing,Relevant,1.240294158,13.39388388,Tier 3,Matched,Medium,Not Required,0.0,No,3.0,Not Willing,Not Placed,Junior,Medium
33,Female,84.54470307,80.33270507,77.73604704,Mechanical,62.97308156,71.22457208,63.30854555,73.74839644,1,Yes,1,Not Willing,Relevant,6.222251333,8.048751215,Tier 3,Matched,Low,Not Required,0.0,No,6.0,Willing,Placed,Senior,Medium
32,Male,80.21386121,76.63306302,87.09147456,Mechanical,61.81904847,60.37813698,80.88650881,90.99447576,0,No,2,Willing,Not Relevant,5.61549254,11.85966588,Tier 1,Matched,Medium,Not Required,0.0,No,12.0,Not Willing,Not Placed,Senior,Medium
29,Male,60.34343102,89.25152277,76.53077486,Computer Science,68.38712234,45.96261896,75.37905317,78.26962469,0,Yes,1,Not Willing,Relevant,6.855191795,8.917882862,Tier 1,Matched,High,Not Required,0.0,No,0.0,Willing,Placed,Senior,Medium
21,Female,75.78088008,72.01438305,73.1633898,Information Technology,56.22590611,65.11117415,82.68199119,78.80455055,1,No,0,Not Willing,Relevant,4.396204814,5.391487386,Tier 2,Matched,Medium,Required,30.0,No,3.0,Willing,Not Placed,Fresher,Medium
31,Female,78.40827207,66.30173916,65.54508024,Computer Science,48.48472598,68.58910053,81.67662713,60.1463963,4,No,0,Not Willing,Relevant,5.445026317,11.64322415,Tier 1,Matched,Low,Not Required,15.0,No,0.0,Willing,Not Placed,Senior,Low
31,Female,56.58862464,77.82989164,68.98846193,Others,57.05896748,58.54168733,69.95283206,69.63125294,1,No,3,Willing,Not Relevant,3.122285806,8.074792149,Tier 1,Matched,Low,Not Required,15.0,No,0.0,Willing,Not Placed,Senior,Medium
30,Male,67.93056577,68.4654608,74.69734141,Computer Science,75.95395,66.62211849,79.87429786,94.92081758,1,Yes,3,Not Willing,Not Relevant,4.164788054,9.779975365,Tier 1,Not Matched,Low,Not Required,15.0,No,6.0,Not Willing,Placed,Senior,High
32,Male,65.70333168,64.24339872,80.43331299,Mechanical,76.28480596,42.05739768,77.52695315,58.55230506,1,No,2,Not Willing,Relevant,1.0,9.233388995,Tier 3,Matched,Medium,Not Required,90.0,No,0.0,Willing,Not Placed,Senior,High
32,Male,78.69674289,84.07405722,85.81806434,Electronics,65.98518402,66.00805133,78.3768546,71.45659294,3,Yes,1,Not Willing,Relevant,7.256496659,5.833140238,Tier 2,Not Matched,Low,Not Required,0.0,Yes,6.0,Willing,Not Placed,Senior,Medium
34,Male,62.78446858,79.9695709,72.91046119,Computer Science,77.76922418,73.6246025,94.4367803,57.89364918,1,Yes,1,Not Willing,Relevant,2.060049896,5.147296106,Tier 2,Not Matched,Medium,Required,30.0,No,0.0,Willing,Not Placed,Senior,High
34,Male,72.11888783,61.76216219,78.80738709,Information Technology,73.01216151,85.05467501,60.18208485,84.56609939,1,Yes,0,Not Willing,Relevant,4.90560926,3.0,Tier 2,Matched,Medium,Required,90.0,No,0.0,Not Willing,Placed,Senior,Medium
34,Male,85.47848492,68.49461637,82.03079877,Computer Science,55.72205527,64.30089113,98.96072841,79.36375099,0,Yes,0,Not Willing,Relevant,1.499618263,7.009318378,Tier 1,Not Matched,Medium,Not Required,15.0,No,0.0,Willing,Not Placed,Senior,Medium
23,Female,53.76803404,77.83545641,85.63485427,Mechanical,87.34919788,62.08858353,57.37092713,74.62758944,0,No,3,Not Willing,Relevant,7.936887259,11.27037473,Tier 2,Matched,High,Required,30.0,No,0.0,Willing,Placed,Junior,High
32,Female,70.76412178,69.54020439,85.88687169,Computer Science,80.33053742,66.40148588,83.79707233,78.20977532,1,Yes,0,Not Willing,Relevant,6.08518229,14.01233163,Tier 2,Matched,Low,Required,0.0,No,12.0,Not Willing,Not Placed,Senior,High
27,Male,71.03373117,72.01438305,88.9120723,Computer Science,59.39289636,58.96194235,72.97768189,89.7487658,3,Yes,0,Not Willing,Relevant,4.359098779,8.051731071,Tier 1,Matched,Low,Not Required,60.0,Yes,0.0,Willing,Not Placed,Junior,Medium
24,Female,50.19248356,84.56624173,72.45700869,Computer Science,72.27342926,58.59133581,71.34336319,55.91900336,2,No,0,Willing,Not Relevant,4.410523921,5.932063688,Tier 1,Matched,Low,Not Required,30.0,No,6.0,Willing,Not Placed,Junior,Medium
29,Female,56.60041975,76.40213442,74.5148293,Others,75.08869627,72.0598142,74.97624909,66.93727012,1,No,0,Not Willing,Not Relevant,1.0,4.682587104,Tier 2,Matched,Low,Not Required,0.0,No,0.0,Willing,Not Placed,Senior,High
23,Female,69.97121038,81.97055489,69.99546406,Mechanical,74.6828953,64.36417,67.24363214,76.77153395,5,No,1,Not Willing,Relevant,4.004586788,3.0,Tier 3,Matched,Low,Not Required,0.0,No,0.0,Willing,Not Placed,Junior,Medium
25,Male,69.5483786,72.90679491,71.31481433,Electronics,64.25750349,63.7396631,49.75062629,78.94120902,3,No,0,Not Willing,Relevant,3.504430488,4.293088333,Tier 3,Matched,Low,Not Required,0.0,Yes,6.0,Willing,Not Placed,Junior,Medium
23,Female,71.5650535,74.24473151,78.91511207,Electronics,61.64351181,78.5046023,64.62150689,92.76768023,0,Yes,5,Willing,Relevant,1.720494449,7.87275894,Tier 2,Matched,Low,Not Required,0.0,Yes,0.0,Not Willing,Placed,Junior,Medium
27,Female,68.83289989,67.94566264,88.34886985,Computer Science,68.38235068,69.73682533,60.59206136,83.12025103,2,Yes,2,Not Willing,Not Relevant,1.446900799,8.785642592,Tier 3,Matched,Medium,Not Required,90.0,No,3.0,Willing,Not Placed,Junior,Medium
25,Male,79.95873398,66.73893125,69.93606185,Mechanical,56.19156185,63.62961753,60.84066872,88.9656501,1,No,2,Not Willing,Not Relevant,6.655141228,9.950947376,Tier 2,Matched,High,Not Required,0.0,No,3.0,Not Willing,Not Placed,Junior,Medium
29,Male,89.22594591,82.0755631,74.10687332,Information Technology,62.89773953,62.18480195,77.16180741,68.76004994,1,Yes,2,Willing,Relevant,6.48463807,7.943738229,Tier 2,Matched,Low,Not Required,30.0,Yes,0.0,Willing,Placed,Senior,Medium
27,Male,78.91601801,73.94799991,66.41054481,Others,56.82059615,68.4031616,72.53901564,68.34103461,1,Yes,0,Not Willing,Relevant,6.638265085,8.408290266,Tier 1,Matched,Medium,Not Required,30.0,Yes,0.0,Willing,Not Placed,Junior,Medium
22,Female,51.22066806,66.73172261,77.9225881,Mechanical,64.7335131,49.26372764,92.48540573,69.5161762,4,No,0,Willing,Not Relevant,5.126853862,8.602487145,Tier 1,Matched,Low,Not Required,15.0,No,0.0,Willing,Not Placed,Fresher,Medium
24,Female,69.71052035,77.80370976,83.10782036,Others,95.34734414,65.89465071,49.85173774,99.36041174,0,No,2,Not Willing,Relevant,5.827677969,3.640118307,Tier 1,Not Matched,Medium,Not Required,15.0,No,0.0,Willing,Placed,Junior,High
29,Female,81.30536514,58.40772345,58.38013211,Others,40.0,64.68481209,85.21437536,64.61390981,2,Yes,0,Not Willing,Relevant,10.12951899,4.426490756,Tier 1,Matched,Low,Not Required,90.0,No,6.0,Not Willing,Not Placed,Senior,Low
32,Male,66.56785839,64.52634523,66.22201655,Others,61.19842008,64.45120048,53.77934046,59.64110568,4,No,4,Not Willing,Relevant,3.313569614,4.485402506,Tier 2,Matched,Medium,Required,30.0,No,0.0,Not Willing,Not Placed,Senior,Medium
34,Male,81.36412108,73.44902534,86.74199289,Others,43.12876329,50.98689389,79.05750381,78.02710568,4,Yes,0,Not Willing,Relevant,4.870743583,10.03493385,Tier 2,Not Matched,Low,Not Required,0.0,No,0.0,Willing,Not Placed,Senior,Low
22,Male,67.30403212,85.6622299,77.52656419,Electronics,78.91347575,80.1361133,63.41955713,58.17399597,3,Yes,5,Not Willing,Relevant,3.248268961,6.308545925,Tier 2,Matched,High,Not Required,0.0,No,3.0,Willing,Placed,Fresher,High
30,Female,59.98208047,68.82401878,78.60164637,Others,91.99761465,49.46505472,65.46117579,72.42511007,1,No,3,Not Willing,Relevant,5.261232029,8.84195007,Tier 2,Matched,Low,Not Required,60.0,No,6.0,Willing,Not Placed,Senior,High
29,Female,75.7674351,57.08361453,73.42525379,Electronics,87.9397911,60.4672983,76.25550668,88.1854246,0,No,1,Not Willing,Relevant,4.282045024,5.055455006,Tier 1,Matched,Low,Not Required,0.0,No,0.0,Willing,Placed,Senior,High
30,Female,73.66202045,77.85446693,69.49785463,Computer Science,75.77867974,59.8277759,69.73020203,97.77754382,3,Yes,5,Not Willing,Not Relevant,3.536095972,4.907332089,Tier 2,Matched,Medium,Not Required,0.0,Yes,6.0,Willing,Placed,Senior,High
25,Male,65.19020426,80.77096023,75.3565794,Electronics,72.6338682,61.87528577,79.14058958,91.17048787,1,No,3,Willing,Relevant,5.689357463,9.649395726,Tier 2,Matched,Medium,Not Required,0.0,No,0.0,Not Willing,Placed,Junior,Medium
22,Male,80.40626264,62.58291541,69.64704969,Mechanical,68.42803336,74.05373387,67.2957221,76.72371562,2,Yes,1,Willing,Not Relevant,2.786184901,7.977766904,Tier 1,Matched,High,Not Required,0.0,No,12.0,Willing,Not Placed,Fresher,Medium
24,Female,55.16163967,81.77803461,80.7554053,Information Technology,54.93153635,76.7806377,58.9158699,92.0849751,1,Yes,3,Willing,Not Relevant,4.377911895,3.0,Tier 2,Matched,Medium,Not Required,30.0,No,6.0,Willing,Not Placed,Junior,Medium
32,Female,78.41606205,85.95819627,72.11547174,Mechanical,100.0,56.97252082,75.3837293,60.57881915,0,Yes,2,Not Willing,Relevant,1.215799746,3.0,Tier 2,Matched,Low,Not Required,0.0,Yes,6.0,Willing,Placed,Senior,High
32,Female,65.62776124,63.18383781,81.19159795,Mechanical,70.02150525,69.3995173,81.3135774,69.14729653,1,No,0,Willing,Not Relevant,2.09364454,8.231993155,Tier 2,Not Matched,Medium,Not Required,0.0,Yes,6.0,Willing,Not Placed,Senior,Medium
27,Male,84.06988922,65.46808506,79.36097767,Others,81.18124919,82.61585319,47.49008339,69.36725038,1,Yes,3,Not Willing,Relevant,3.007455095,9.861578737,Tier 2,Matched,High,Not Required,0.0,No,0.0,Willing,Not Placed,Junior,High
32,Female,76.54063473,70.04515561,85.31067083,Information Technology,67.7155384,92.28268906,75.25327133,81.75578399,1,No,0,Willing,Relevant,1.568289984,8.61972909,Tier 1,Matched,Medium,Not Required,0.0,No,0.0,Willing,Not Placed,Senior,Medium
33,Male,67.23576094,64.99594459,76.18204894,Mechanical,90.6500933,60.85866687,65.22080371,83.41550593,2,Yes,1,Not Willing,Not Relevant,8.440232966,4.048418734,Tier 3,Matched,Low,Not Required,15.0,Yes,3.0,Willing,Placed,Senior,High
28,Female,62.27112054,74.21882145,75.75856731,Mechanical,67.35520533,62.19115909,76.8421597,78.34150885,2,No,1,Not Willing,Relevant,5.100141138,7.563420202,Tier 1,Matched,Medium,Not Required,15.0,No,6.0,Willing,Placed,Junior,Medium
23,Female,57.04050769,75.84571394,76.7391107,Mechanical,58.82696272,63.31773536,60.08343032,78.16726044,0,No,2,Not Willing,Relevant,3.320097634,7.131303252,Tier 2,Matched,Low,Required,60.0,No,0.0,Willing,Not Placed,Junior,Medium
34,Female,69.37878332,84.86541109,80.83460887,Computer Science,64.32039081,61.99628115,81.60932701,59.88133125,0,No,4,Not Willing,Relevant,2.932457512,9.104913632,Tier 1,Matched,Medium,Not Required,0.0,No,0.0,Willing,Placed,Senior,Medium
21,Female,70.44552129,78.29283313,70.18048501,Information Technology,84.07980443,77.5077682,66.90975886,85.30011256,1,Yes,5,Not Willing,Not Relevant,7.923863455,9.428298846,Tier 1,Matched,Medium,Not Required,30.0,No,0.0,Willing,Placed,Fresher,High
24,Female,78.42230086,56.06874256,63.75448281,Mechanical,69.8527901,56.25853084,59.38805714,80.74337294,2,No,0,Not Willing,Relevant,1.0,10.11608239,Tier 2,Matched,Medium,Not Required,0.0,No,3.0,Not Willing,Not Placed,Junior,Medium
22,Female,64.22773751,72.01438305,76.64663851,Information Technology,59.15915452,49.81710327,61.69584782,64.9074718,1,Yes,2,Not Willing,Not Relevant,3.006585307,11.61738445,Tier 2,Matched,Medium,Not Required,15.0,Yes,3.0,Willing,Not Placed,Fresher,Medium
28,Female,72.91519704,52.90570431,75.08449134,Mechanical,54.27533032,72.18952107,71.95567826,100.0,0,No,2,Not Willing,Relevant,1.0,8.123504117,Tier 3,Matched,Low,Not Required,90.0,Yes,0.0,Willing,Not Placed,Junior,Medium
24,Female,67.14947004,71.52353532,61.76304563,Others,87.6850777,69.95144809,62.812904,79.47960456,1,Yes,1,Not Willing,Relevant,2.444046552,5.253010722,Tier 2,Matched,Low,Not Required,15.0,No,3.0,Willing,Placed,Junior,High
22,Female,81.98802936,67.07146509,80.65126421,Electronics,74.52172042,54.53363438,56.57679635,63.06994019,0,Yes,0,Not Willing,Relevant,3.459397452,12.29405734,Tier 2,Matched,Low,Not Required,15.0,No,0.0,Willing,Not Placed,Fresher,Medium
34,Female,68.97383637,75.96367913,88.60034248,Electronics,69.6296097,82.09543542,74.71690336,73.83492282,1,No,4,Willing,Not Relevant,4.095098465,5.056820218,Tier 1,Matched,High,Not Required,0.0,No,18.0,Willing,Placed,Senior,Medium
26,Male,64.15014485,64.35719729,62.38448325,Electronics,67.84981244,62.35555662,75.7464617,71.02603849,0,No,3,Willing,Not Relevant,3.062054654,9.412867857,Tier 1,Matched,Medium,Not Required,0.0,No,3.0,Willing,Not Placed,Junior,Medium
26,Male,60.40245012,71.02563836,68.75061966,Electronics,75.97102823,63.81860273,61.45303953,76.39055756,3,Yes,0,Not Willing,Not Relevant,3.398590946,5.687814446,Tier 1,Matched,Low,Not Required,15.0,No,0.0,Not Willing,Not Placed,Junior,High
30,Female,66.37817665,75.63034875,67.74195228,Information Technology,83.28105394,58.75199111,77.30670094,71.53766368,3,No,0,Not Willing,Relevant,7.480266643,14.8125731,Tier 1,Matched,Medium,Not Required,0.0,No,18.0,Willing,Not Placed,Senior,High
24,Female,68.13168442,67.63420297,77.30995348,Electronics,66.77509072,64.55114854,57.98687221,80.0031736,2,No,2,Not Willing,Relevant,1.509335141,6.332112252,Tier 3,Matched,Low,Not Required,60.0,Yes,0.0,Willing,Not Placed,Junior,Medium
26,Male,68.41504846,75.7783452,63.53669906,Mechanical,62.73110953,77.59457174,65.1298116,55.16874062,1,No,4,Not Willing,Relevant,4.642979089,13.97711069,Tier 2,Matched,Low,Not Required,0.0,No,0.0,Willing,Placed,Junior,Medium
33,Male,73.40672193,64.55515405,70.89336988,Others,77.53645045,53.79728815,62.74896054,74.36871849,0,Yes,2,Not Willing,Not Relevant,1.797493621,7.312279285,Tier 2,Matched,High,Not Required,0.0,No,0.0,Willing,Placed,Senior,High
22,Male,69.97121038,53.8958528,55.0,Computer Science,82.53922363,57.09888785,47.62590651,98.69133935,4,Yes,0,Willing,Not Relevant,2.573521419,6.36131884,Tier 2,Matched,Low,Not Required,15.0,No,0.0,Willing,Placed,Fresher,High
30,Female,63.34598331,72.37475801,73.25365111,Information Technology,66.96053558,62.22421247,68.61667253,58.48567607,0,No,1,Not Willing,Relevant,7.894971482,8.198313262,Tier 3,Not Matched,Low,Not Required,0.0,No,6.0,Not Willing,Not Placed,Senior,Medium
32,Female,66.63674886,70.99389522,68.29385646,Information Technology,69.35344696,67.60850247,52.12300437,55.59700972,2,Yes,1,Not Willing,Relevant,4.352298945,6.822203837,Tier 2,Matched,Medium,Not Required,0.0,No,6.0,Not Willing,Not Placed,Senior,Medium
22,Female,69.97121038,66.69245727,76.9478217,Others,90.08241145,69.40225521,54.63640343,69.69943486,1,No,0,Willing,Relevant,3.823334255,3.474789598,Tier 1,Matched,Medium,Not Required,30.0,No,18.0,Willing,Placed,Fresher,High
30,Female,65.46803877,64.0865758,70.97902907,Computer Science,59.05192459,77.11980507,79.80419908,66.38862712,1,No,2,Not Willing,Relevant,3.257826984,8.600463049,Tier 3,Matched,Medium,Not Required,60.0,No,3.0,Willing,Not Placed,Senior,Medium
34,Male,57.1165952,73.4220403,67.59962322,Others,58.67044455,67.35110244,72.41802414,55.22192852,0,Yes,2,Not Willing,Relevant,3.238289266,8.192043455,Tier 2,Matched,Low,Not Required,0.0,No,0.0,Willing,Not Placed,Senior,Medium
24,Male,69.97121038,75.8744742,75.49298814,Computer Science,88.41837354,75.98545208,87.32440959,83.47974982,2,Yes,2,Not Willing,Relevant,6.40034094,7.426369689,Tier 1,Not Matched,Low,Not Required,15.0,No,3.0,Willing,Placed,Junior,High
34,Male,54.35194454,76.52188318,75.55248539,Electronics,85.64355774,51.92290697,54.31156328,45.71857655,0,No,1,Not Willing,Relevant,2.573526095,8.080643417,Tier 2,Matched,Medium,Not Required,15.0,No,18.0,Not Willing,Not Placed,Senior,High
28,Male,71.35618035,56.59965384,62.92697084,Electronics,68.945709,65.91386512,57.31711646,77.85968673,1,No,1,Not Willing,Relevant,6.537453794,7.512530263,Tier 1,Matched,Medium,Required,0.0,No,0.0,Not Willing,Not Placed,Junior,Medium
34,Female,73.6098638,68.69371381,68.26273736,Electronics,72.62720478,59.99913152,66.69734596,83.78113357,1,Yes,1,Not Willing,Relevant,6.115393011,8.703065115,Tier 3,Matched,Low,Not Required,90.0,No,12.0,Not Willing,Not Placed,Senior,Medium
27,Male,63.27461987,64.24171169,87.64459206,Computer Science,71.41100139,60.32764629,59.71525144,68.15363137,1,No,3,Not Willing,Not Relevant,7.915215701,6.959305071,Tier 1,Not Matched,Medium,Required,15.0,No,0.0,Willing,Not Placed,Junior,Medium
32,Male,73.88234073,76.60402243,65.81085926,Others,69.7191744,64.48146145,56.9341729,74.1085074,0,No,3,Not Willing,Not Relevant,10.50194607,13.63699942,Tier 3,Matched,Low,Not Required,0.0,Yes,0.0,Willing,Not Placed,Senior,Medium
29,Female,66.92439483,71.32001108,75.82511524,Mechanical,45.73578862,49.95927449,83.29061138,65.75860124,4,No,1,Not Willing,Not Relevant,9.471603084,3.155397426,Tier 2,Matched,High,Not Required,0.0,No,0.0,Willing,Not Placed,Senior,Low
34,Female,69.97121038,71.00845463,79.64533524,Mechanical,77.94635327,56.70587334,67.42658522,67.43115445,2,Yes,3,Willing,Relevant,5.544221444,3.42571967,Tier 3,Matched,Medium,Not Required,60.0,No,0.0,Willing,Placed,Senior,High
28,Female,59.56482387,80.03151264,74.59127976,Others,59.63623115,66.40327819,61.08758656,86.81336319,4,Yes,2,Not Willing,Relevant,3.603663417,15.5994395,Tier 3,Matched,Medium,Not Required,0.0,No,12.0,Willing,Not Placed,Junior,Medium
25,Male,79.97438718,64.27499235,83.03449899,Mechanical,56.48274018,63.89047938,78.25896751,100.0,0,No,3,Willing,Relevant,5.653950187,8.995342752,Tier 1,Matched,Low,Not Required,15.0,No,3.0,Not Willing,Not Placed,Junior,Medium
